breed,pageviews,breed_clean,weight_kg,lifespan_years,intelligence,energy_level,affection_level,grooming,child_friendly,dog_friendly,adaptability
Abyssinian,7233.0,abyssinian,4.0,14.5,5,5,5,1,3,4,5
Aegean,7380.0,aegean,4.0,10.5,3,3,4,3,4,4,5
American Bobtail,92990.0,american bobtail,5.0,13.0,5,3,5,1,4,5,5
American Curl,72802.0,american curl,3.5,14.0,3,3,5,2,4,5,5
American Shorthair,223919.0,american shorthair,5.5,16.0,3,3,5,1,4,5,5
American Wirehair,206343.0,american wirehair,5.5,16.0,3,3,5,1,4,5,5
Arabian Mau,74763.0,arabian mau,5.5,13.0,3,4,5,1,4,5,5
Australian Mist,32012.0,australian mist,5.0,14.0,4,4,5,3,4,5,5
Balinese,4516.0,balinese,3.5,12.5,5,5,5,3,4,5,5
Bambino,11138.0,bambino,3.0,13.0,5,5,5,1,4,5,5
Bengal,491550.0,bengal,5.0,13.5,5,5,5,1,4,5,5
Birman,147785.0,birman,5.0,14.5,3,3,5,2,4,5,5
Bombay,182943.0,bombay,4.0,14.0,5,3,5,1,4,5,5
British Longhair,19711.0,british longhair,6.0,13.0,5,4,5,5,4,5,5
British Shorthair,535112.0,british shorthair,7.0,14.5,3,2,4,2,4,5,5
Burmese,14202.0,burmese,4.0,15.5,5,4,5,1,4,5,5
Burmilla,34165.0,burmilla,4.5,12.5,3,3,5,3,4,4,5
California Spangled,17632.0,california spangled,6.0,12.0,5,5,5,1,4,5,5
Chantilly-Tiffany,52620.0,chantilly-tiffany,4.0,15.0,5,4,5,5,4,5,5
Chartreux,181597.0,chartreux,5.0,13.5,4,2,5,1,4,5,5
Chausie,63031.0,chausie,5.0,13.0,5,4,5,3,4,5,5
Colorpoint Shorthair,41130.0,colorpoint shorthair,3.5,14.0,5,4,4,2,4,4,3
Cornish Rex,107717.0,cornish rex,3.0,12.5,5,5,5,1,4,5,5
Cyprus,3851847.0,cyprus,5.5,13.5,3,4,5,3,4,5,5
Devon Rex,210796.0,devon rex,3.5,12.5,5,5,5,1,4,5,5
Egyptian Mau,231551.0,egyptian mau,4.5,19.0,4,5,5,1,3,3,2
Exotic Shorthair,210453.0,exotic shorthair,4.5,13.5,3,3,5,2,3,3,5
Havana Brown,55370.0,havana brown,4.0,12.5,5,3,5,1,4,5,5
Japanese Bobtail,138149.0,japanese bobtail,3.5,15.0,5,5,5,1,4,5,5
Khao Manee,128957.0,khao manee,5.0,11.0,4,3,4,3,3,3,4
Korat,85024.0,korat,4.0,12.5,5,3,5,1,4,5,5
LaPerm,46648.0,laperm,4.0,12.5,5,4,5,1,4,5,5
Maine Coon,1498621.0,maine coon,6.5,13.5,5,3,5,3,4,5,5
Manx,9732.0,manx,4.5,13.0,5,5,5,1,4,5,5
Munchkin,238563.0,munchkin,3.0,12.5,5,4,5,2,4,5,5
Nebelung,230457.0,nebelung,4.0,13.5,5,3,5,3,4,4,5
Norwegian Forest cat,102965.0,norwegian forest cat,5.5,14.0,4,3,5,2,4,5,5
Ocicat,78457.0,ocicat,5.0,13.0,5,5,5,1,4,5,5
Pixie-bob,58069.0,pixie-bob,6.0,14.5,5,4,5,1,4,5,5
Ragdoll,834301.0,ragdoll,7.0,14.5,3,3,5,2,4,5,5
Russian Blue,416892.0,russian blue,3.5,13.0,3,3,3,3,3,3,3
Savannah,91446.0,savannah,7.5,18.5,5,5,5,1,4,5,5
Scottish Fold,350238.0,scottish fold,3.5,12.5,3,3,5,1,4,5,5
Selkirk Rex,321481.0,selkirk rex,5.0,14.5,3,3,5,2,4,5,5
Singapura,3325.0,singapura,3.0,13.5,5,5,5,1,4,5,5
Snowshoe,60889.0,snowshoe,4.0,16.5,5,4,5,3,4,5,5
Somali,15136.0,somali,4.0,14.0,5,5,5,3,3,4,5
Sphynx,3716.0,sphynx,4.0,13.0,5,3,5,2,4,5,5
Tonkinese,3334.0,tonkinese,4.0,15.0,5,5,5,1,4,5,5
Toyger,64248.0,toyger,5.0,13.5,5,5,5,1,4,5,5
Turkish Angora,295075.0,turkish angora,3.5,16.5,5,5,5,2,4,5,5
York Chocolate,30747.0,york chocolate,6.5,14.0,5,5,5,3,4,5,5
